what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.7.0_45",1388239223572
java.vm.info,sysinfo,,,"mixed mode, sharing",1388239223572
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1388239223572
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1388239223572
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1388239223572
java.vm.specification.version,sysinfo,,,"1.7",1388239223572
java.vm.vendor,sysinfo,,,"Oracle Corporation",1388239223572
java.vm.version,sysinfo,,,"24.45-b08",1388239223572
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project br.com.xti.",1388239223912
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1388239337742
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1388239337750
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1388239337828
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1388239337855
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1388239337901
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1388239337934
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1388239338002
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1388239338003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388239338770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388239402623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388239406703
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1388239416733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1388239465589
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1388239495449
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1388239567582
error,log,,,"Operation details",1388239589176
